0
ARGENTINA
NO IDENTIFICADO
PARAGUAY
BOLIVIA
PERÚ
REPÚBLICA DOMINICANA
ESPAÑA
ITALIA
URUGUAY
CUBA
ARGELIA
BRASIL
CHINA
CHILE
CHIPRE
COLOMBIA
SIRIA
AFGANISTÁN
TURQUÍA
ESTADOS UNIDOS
REP. FEDERAL DE ALEMANIA
ECUADOR
EL SALVADOR
COREA DEMOCRÁTICA
BAHREIN
REINO UNIDO
PORTUGAL
JAPÓN
POLONIA
VENEZUELA
CANADÁ
UCRANIA
HONDURAS
SENEGAL
SUIZA
RUSIA
YUGOESLAVIA
COREA REPUBLICANA
ISRAEL
GRECIA
ARMENIA
MÉXICO
PERU
BAHAMAS
TURQUIA
JAPON
DINAMARCA
REPUBLICA DOMINICANA
MEXICO
FRANCIA
ALEMANIA
HAITI
KASAJSTAN
