0
SEDAN 4 P
FURGON
SEDAN 3 P
FAMILIAR
COMBI
SEDAN
CAMION
PICK UP
COMERCIAL LIVIANO
COUPE
TODO TERRENO
TRACTOR
TRANSP. PASAJEROS
CHASIS CON CABINA
UTILITARIO
LIMUSINA
DESCAPOTABLE
SEMIRREMOLQUE
AMBULANCIA
CASA RODANTE
GRUA
OTROS
